siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
007280373,A,,,CAP DIS,,,,2019-06-25T16:08:11,O,
007280456,A,,,GINEAU PERE ET FILS,,,,2019-06-24T13:04:23,O,
007280472,A,,,ETS ANEZO,,,,2019-06-24T13:04:23,O,
007280803,A,,,SOC SERALU PLAST,,,,2019-06-24T13:04:23,O,
007320039,A,,,ETABLISSEMENTS CORNE HENRI,,,,2019-06-24T13:04:23,O,
007320047,A,,,ETABLISSEMENTS RAUX,,,,2020-01-09T19:33:04,O,
007320112,A,,,SARL AUBERT ET FILS,L'ALCYONE,,,2019-06-24T13:04:23,O,
007320187,A,,,ETABLISSEMENTS LAGRANGE,,,,2019-06-24T13:04:23,O,
007320211,A,,,DOMAINE DE DIANE,,,,2019-06-24T13:04:23,O,
007320294,A,,,GARAGE DU VIMEU,,,,2019-06-27T04:01:23,O,
007350077,A,,,ETABLISSEMENTS BLANC ET FILS,,,,2019-06-25T16:00:20,O,
007350135,A,,,SARL LE BELVEDERE,,,,2019-12-13T03:58:56,O,
007350168,A,,,SOCIETE FORESTIERE CALVI,,,,2019-06-24T13:04:23,O,
007350184,A,,,SARL SOCIETE DE CONSTRUCTION DU BATIMENT,,,,2019-06-24T13:04:23,O,
007350200,A,,,ENTREPRISE MINETTO,,,,2019-06-24T13:04:23,O,
007350333,A,,,ART ET BIJOUX,,,,2019-06-24T13:04:23,O,
007380215,A,,,ETABLISSEMENTS POITEVIN PERE ET FILS SA,,,,2019-06-24T13:04:23,O,
007380454,A,,,VETEMENTS YVES,,,,2020-01-14T08:37:12,O,
007400765,A,,,COPROPRIETAIRES,,,,2019-06-24T13:04:23,O,
007455306,A,,,COPRO RES LES VOILIERS,,,,2019-06-24T13:04:23,O,
007455371,A,,,COPRO RES DE VERTHAMON,,,,2019-06-24T13:04:23,O,
007538770,A,,,SYNDIC DUCOUDERT CHRISTIANE,,,,2016-04-26T01:03:44,O,
007663917,A,,,GESTRIM GARAGES JULES NORIA,,,,2019-12-05T09:11:50,O,
007926215,A,,,COPROPRIETE PERRAULT,,,,2019-06-24T13:04:23,O,
007926587,A,,,COPROPRIETE CLOS SAULES,,,,2019-06-24T13:04:23,O,
007926611,A,,,COPROPRIETE CHAMBORD,,,,2019-06-24T13:04:23,O,
